Channel;Counts
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;1
21;0
22;1
23;0
24;1
25;1
26;1
27;1
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;2
41;0
42;1
43;0
44;0
45;0
46;1
47;0
48;0
49;1
50;0
51;0
52;0
53;1
54;2
55;0
56;0
57;0
58;1
59;0
60;0
61;2
62;0
63;0
64;0
65;0
66;2
67;2
68;1
69;1
70;2
71;0
72;1
73;1
74;4
75;1
76;3
77;4
78;4
79;6
80;3
81;4
82;3
83;9
84;10
85;20
86;24
87;28
88;39
89;49
90;92
91;116
92;142
93;157
94;230
95;218
96;374
97;381
98;473
99;517
100;679
101;787
102;828
103;897
104;891
105;950
106;875
107;749
108;691
109;586
110;507
111;482
112;422
113;338
114;310
115;287
116;270
117;235
118;215
119;206
120;190
121;200
122;203
123;171
124;184
125;202
126;185
127;198
128;201
129;212
130;181
131;194
132;186
133;172
134;195
135;202
136;199
137;197
138;209
139;181
140;193
141;187
142;194
143;191
144;188
145;198
146;213
147;204
148;209
149;199
150;213
151;210
152;221
153;222
154;235
155;225
156;255
157;241
158;258
159;291
160;283
161;347
162;309
163;335
164;366
165;374
166;385
167;370
168;379
169;412
170;396
171;354
172;359
173;339
174;334
175;308
176;295
177;289
178;296
179;271
180;274
181;298
182;265
183;291
184;277
185;279
186;275
187;282
188;262
189;248
190;247
191;236
192;241
193;218
194;239
195;201
196;241
197;215
198;209
199;198
200;205
201;214
202;233
203;219
204;245
205;210
206;252
207;228
208;244
209;236
210;249
211;191
212;244
213;215
214;237
215;210
216;245
217;208
218;235
219;256
220;229
221;223
222;228
223;215
224;251
225;241
226;226
227;251
228;210
229;233
230;195
231;216
232;243
233;234
234;221
235;236
236;232
237;248
238;251
239;226
240;276
241;265
242;247
243;240
244;227
245;247
246;247
247;261
248;256
249;239
250;255
251;264
252;275
253;251
254;214
255;262
256;242
257;227
258;252
259;212
260;238
261;238
262;237
263;238
264;239
265;234
266;258
267;236
268;246
269;240
270;247
271;255
272;250
273;236
274;229
275;252
276;240
277;237
278;260
279;229
